"genus","class","fc1_p","fc2_p","fc3_p","between_mean1","within_mean1","family_mean1","total_number_between","total_number_family","total_number_within","number_1_between","number_1_family","number_1_within","freq_between","freq_family","freq_within","fc1_p_adjust","fc2_p_adjust","fc3_p_adjust","fc1","fc2"
"Butyrivibrio","Stool",0,0.99750637755286,1.24991789094018e-17,0.929233095429964,0.542383807206889,0.997904780864692,11154,48,3676,7623,43,149,0.683431952662722,0.895833333333333,0.0405331882480958,0,1,2.04656885439656e-17,0.386849288223076,0
"Campylobacter","Stool",3.75716887396314e-12,0.994696622191825,8.52878753195398e-10,0.892301761079399,0.570137061184018,1,544,34,88,443,34,24,0.814338235294118,1,0.272727272727273,5.91754097649195e-12,1,1.19885787005768e-09,0.32216469989538,0
"Caproiciproducens","Stool",0.133057006322487,0.621074452348786,0.0617694133381229,0.624748830983856,0.29415925544072,0.658408604987889,30,18,7,16,9,1,0.533333333333333,0.5,0.142857142857143,0.143701566828286,1,0.0681751302768912,0.330589575543136,0
"Catabacter","Stool",1.38175873269674e-191,1.40838436621783e-15,6.17744755131346e-132,0.987160945326883,0.866845123356288,0.972131175577035,52165,3711,2777,49837,3376,1771,0.955372376114253,0.909727836162759,0.637738566798704,4.21213549160779e-191,8.07112579101756e-15,1.46101537324715e-131,0.120315821970595,0.124919312387042
"Catenibacterium","Stool",3.7078122982821e-45,0.999999999999989,1.48850513694914e-60,0.967240888066288,0.634529498287469,0.996233881021929,1051,433,227,862,423,44,0.820171265461465,0.976905311778291,0.193832599118943,7.70084092720129e-45,1,3.08037868618641e-60,0.332711389778819,0
"Christensenella","Stool",0.000146573225508004,0.527170793294202,0.000462059189396107,0.966065169842148,0.651244020284268,0.972789115646258,278,21,26,263,20,13,0.946043165467626,0.952380952380952,0.5,0.000189742052198718,1,0.000578544699327899,0.31482114955788,0
"Cloacibacillus","Stool",2.72762358329747e-22,0.999999999806015,1.73932599658795e-37,0.901944873511695,0.745205719756154,0.972151285946029,5087,313,486,3928,297,231,0.772164340475722,0.94888178913738,0.475308641975309,4.81795193685254e-22,1,3.23949466864506e-37,0.156739153755541,0
"Clostridium_IV","Stool",0,4.38512644123034e-45,0,0.903180322504214,0.645347756544083,0.896217639220702,182354,12470,7106,121482,6865,982,0.666187744716321,0.550521251002406,0.138193076273572,0,5.02602953648708e-44,0,0.257832565960131,0.0270046697071972
"Clostridium_sensu_stricto","Stool",2.51740224970077e-24,6.68971959129669e-06,2.15937440416012e-05,0.946449486844209,0.908309502352285,0.934323100745486,83572,2632,3896,69304,2048,2881,0.829272962236156,0.778115501519757,0.739476386036961,4.6193109242082e-24,2.87810368699222e-05,2.77367919155049e-05,0.0381399844919241,0.317944180110779
"Clostridium_XlVa","Stool",5.2509802415127e-80,0.999168033973546,8.57178024175947e-89,0.979374987423129,0.782332990626797,0.985443093611208,45967,3145,974,43517,3030,571,0.946700894119695,0.963434022257552,0.586242299794661,1.22522872301963e-79,1,1.90626157615248e-88,0.197041996796332,0
"Clostridium_XVIII","Stool",7.77324804348168e-169,8.05959395215967e-14,4.89781213987261e-76,0.816289773926123,0.528395331744369,0.74285266429391,33217,1528,1840,22631,826,320,0.681307764096697,0.540575916230366,0.173913043478261,2.29553731284068e-168,4.28885535311354e-13,1.05764349107394e-75,0.287894442181754,0.255083457241076
"Colidextribacter","Stool",1.08716969600772e-109,0.99999999901651,6.92926479922223e-59,0.938864083170425,0.645449275613707,0.99726825714806,12049,323,994,10650,322,398,0.883890779317786,0.996904024767802,0.400402414486922,2.63429580186487e-109,1,1.41432939052618e-58,0.293414807556718,0
